date,open,close,volume
2017-09-23 13,3770.0,3768.86,2528407.434352636
2017-09-23 14,3777.32,3744.36,1132651.281825739
2017-09-23 15,3744.38,3718.04,1614309.0083638686
2017-09-23 16,3718.06,3755.32,1775130.5699182095
2017-09-23 17,3755.33,3733.94,2431975.194262668
2017-09-23 18,3740.06,3742.67,951400.1663927959
2017-09-23 19,3743.82,3763.61,1070659.908795679
2017-09-23 20,3763.6,3764.25,1039745.05725183
2017-09-23 21,3764.26,3725.99,1399243.8130379003
2017-09-23 22,3725.99,3751.92,950372.2288179699
2017-09-23 23,3747.73,3783.22,1606428.7324713075
2017-09-24 00,3783.19,3746.22,868178.0365881299
2017-09-24 01,3751.54,3766.04,662195.6648520151
2017-09-24 02,3767.92,3762.42,607065.6780103969
2017-09-24 03,3762.79,3766.16,573236.4785509161
2017-09-24 04,3770.91,3679.29,2341223.747321761
2017-09-24 05,3675.04,3685.21,1566337.9220216738
2017-09-24 06,3682.65,3630.0,1132756.914128812
2017-09-24 07,3629.49,3656.8,2334557.3788690907
2017-09-24 08,3656.73,3669.84,816754.4438262657
2017-09-24 09,3668.1,3669.0,537399.2821612078
2017-09-24 10,3668.25,3648.23,880241.616547875
2017-09-24 11,3650.9,3692.65,894850.7030476779
2017-09-24 12,3692.39,3694.97,1172052.4489428732
2017-09-24 13,3694.97,3725.24,1737653.3297044102
2017-09-24 14,3719.7,3700.08,1095611.7722362475
2017-09-24 15,3690.86,3696.12,845934.588226859
2017-09-24 16,3701.63,3691.81,232034.10626004703
2017-09-24 17,3702.6,3670.46,690766.208360441
2017-09-24 18,3669.0,3672.22,1817122.887302695
2017-09-24 19,3669.86,3693.14,1260302.7689566398
2017-09-24 20,3691.28,3670.77,615168.1432599801
2017-09-24 21,3670.64,3665.0,461054.35052304796
2017-09-24 22,3665.24,3685.8,589112.2815106271
2017-09-24 23,3689.01,3658.4,252973.171017996
2017-09-25 00,3669.5,3674.0,506972.8519646841
2017-09-25 01,3679.42,3679.97,1392503.2318695
2017-09-25 02,3679.99,3761.63,5150413.171804053
2017-09-25 03,3750.71,3761.83,2315550.329675215
2017-09-25 04,3764.36,3785.76,4563680.536441591
2017-09-25 05,3785.43,3761.32,1026344.8539058502
2017-09-25 06,3759.77,3764.52,1054517.09859827
2017-09-25 07,3764.55,3771.67,1570395.1717134828
2017-09-25 08,3774.42,3750.06,1286489.3286425583
2017-09-25 09,3756.76,3756.3,542954.1521205598
2017-09-25 10,3750.12,3769.89,1184315.4956209299
2017-09-25 11,3768.29,3761.22,937545.6760080302
2017-09-25 12,3754.16,3779.94,805406.1239500631
2017-09-25 13,3780.0,3770.05,1743672.4524473199
2017-09-25 14,3772.56,3931.0,10038448.743641555
2017-09-25 15,3931.0,3930.66,6012049.6853923015
2017-09-25 16,3930.03,3918.02,5381251.888451301
2017-09-25 17,3918.05,3892.58,3274227.545166862
2017-09-25 18,3894.99,3895.52,1190328.9229658234
2017-09-25 19,3902.5,3923.0,1013848.0105505302
2017-09-25 20,3922.97,3926.36,2220938.7721352666
2017-09-25 21,3929.14,3949.39,1736032.7672316788
2017-09-25 22,3956.95,3912.82,1754248.6966899442
2017-09-25 23,3912.81,3923.0,970444.7945072049
2017-09-26 00,3923.0,3922.43,674560.5590302132
2017-09-26 01,3922.43,3930.71,718944.57453804
2017-09-26 02,3928.73,3929.81,999725.4361621311
2017-09-26 03,3932.27,3900.0,1715036.7291573728
2017-09-26 04,3899.29,3911.3,667353.5470478368
2017-09-26 05,3911.3,3858.34,2096421.37468332
2017-09-26 06,3859.9,3894.43,1928119.6723460201
2017-09-26 07,3893.66,3910.37,1569274.402415508
2017-09-26 08,3914.33,3918.33,3178032.0486282394
2017-09-26 09,3918.24,3934.02,3240352.020838481
2017-09-26 10,3934.01,3930.89,2423750.1704934505
2017-09-26 11,3934.99,3960.0,1207452.074471278
